Plugin,"String Key",English,"Hindi (hi)","Marathi (mr)","Swahili (sw)","Kannada (kn)"
local_airpay_gamification,badge_quiz_ace_desc,"Score 100% on 5 quizzes","5 क्विज़ में 100% स्कोर करें","५ क्विझमध्ये १००% गुण मिळवा","Pata alama 100% kwenye mitihani 5","5 ಕ್ವಿಜ್‌ಗಳಲ್ಲಿ 100% ಅಂಕ ಪಡೆಯಿರಿ"
local_airpay_gamification,badge_team_player,"Team Player","टीम प्लेयर","टीम प्लेयर","Mchezaji wa Timu","ತಂಡದ ಆಟಗಾರ"
local_airpay_gamification,badge_team_player_desc,"Reach the top 10 leaderboard","टॉप 10 लीडरबोर्ड में पहुँचें","लीडरबोर्डवर शीर्ष १० मध्ये पोहोचा","Fikia nafasi ya juu 10 kwenye ubao wa viongozi","ಲೀಡರ್‌ಬೋರ್ಡ್‌ನಲ್ಲಿ ಅಗ್ರ 10 ತಲುಪಿ"
local_airpay_gamification,streak,Streak,स्ट्रीक,स्ट्रीक,Mfululizo,ಸ್ಟ್ರೀಕ್
local_airpay_gamification,currentstreak,"Current Streak","वर्तमान स्ट्रीक","सध्याची स्ट्रीक","Mfululizo wa Sasa","ಪ್ರಸ್ತುತ ಸ್ಟ್ರೀಕ್"
local_airpay_gamification,longeststreak,"Longest Streak","सबसे लंबी स्ट्रीक","सर्वात लांब स्ट्रीक","Mfululizo Mrefu Zaidi","ಅತಿ ಉದ್ದ ಸ್ಟ್ರೀಕ್"
local_airpay_gamification,streakdays,"{$a} days","{$a} दिन","{$a} दिवस","siku {$a}","{$a} ದಿನಗಳು"
local_airpay_gamification,keepgoing,"Keep going!","जारी रखें!","सुरू ठेवा!",Endelea!,ಮುಂದುವರಿಸಿ!
local_airpay_gamification,leaderboard,Leaderboard,लीडरबोर्ड,लीडरबोर्ड,"Ubao wa Viongozi",ಲೀಡರ್‌ಬೋರ್ಡ್
local_airpay_gamification,globalleaderboard,"Global Leaderboard","वैश्विक लीडरबोर्ड","जागतिक लीडरबोर्ड","Ubao wa Viongozi wa Kimataifa","ಜಾಗತಿಕ ಲೀಡರ್‌ಬೋರ್ಡ್"
local_airpay_gamification,departmentleaderboard,"Your Department","आपका विभाग","तुमचा विभाग","Idara Yako","ನಿಮ್ಮ ವಿಭಾಗ"
local_airpay_gamification,yourrank,"Your Rank: #{$a}","आपकी रैंक: #{$a}","तुमचा क्रमांक: #{$a}","Nafasi Yako: #{$a}","ನಿಮ್ಮ ಶ್ರೇಣಿ: #{$a}"
local_airpay_gamification,noentries,"No leaderboard entries yet. Start learning to earn points!","अभी तक कोई प्रविष्टि नहीं। अंक कमाने के लिए सीखना शुरू करें!","अजून लीडरबोर्ड एंट्री नाहीत. गुण मिळवण्यासाठी शिकायला सुरुवात करा!","Bado hakuna maingizo kwenye ubao wa viongozi. Anza kujifunza kupata alama!","ಇನ್ನೂ ಲೀಡರ್‌ಬೋರ್ಡ್ ನಮೂದುಗಳಿಲ್ಲ. ಅಂಕಗಳನ್ನು ಗಳಿಸಲು ಕಲಿಯಲು ಪ್ರಾರಂಭಿಸಿ!"
local_airpay_gamification,level_beginner,Beginner,शुरुआती,नवशिक्या,Mwanzo,ಆರಂಭಿಕ
local_airpay_gamification,level_learner,Learner,शिक्षार्थी,शिकणारा,Mwanafunzi,ಕಲಿಕೆಗಾರ
local_airpay_gamification,level_achiever,Achiever,उपलब्धिकर्ता,कर्तृत्ववान,Mfanikaji,ಸಾಧಕ
local_airpay_gamification,level_expert,Expert,विशेषज्ञ,तज्ञ,Mtaalamu,ತಜ್ಞ
local_airpay_gamification,level_master,Master,मास्टर,मास्टर,Bwana,ಮಾಸ್ಟರ್
local_airpay_gamification,pointstonext,"{$a} points to next level","अगले स्तर तक {$a} अंक","पुढच्या स्तरासाठी {$a} गुण","alama {$a} kwa ngazi inayofuata","ಮುಂದಿನ ಮಟ್ಟಕ್ಕೆ {$a} ಅಂಕಗಳು"
local_airpay_compliance_report,pluginname,"Airpay Compliance Report","एयरपे अनुपालन रिपोर्ट","एअरपे अनुपालन रिपोर्ट","Ripoti ya Utiifu ya Airpay","ಏರ್‌ಪೇ ಅನುಸರಣೆ ವರದಿ"
local_airpay_compliance_report,privacy:metadata,"Stores compliance snapshot data linked to user IDs.","अनुपालन स्नैपशॉट डेटा संग्रहीत करता है जो उपयोगकर्ता आईडी से जुड़ा है।","वापरकर्ता आयडीशी जोडलेला अनुपालन स्नॅपशॉट डेटा संग्रहित करते.","Huhifadhi data ya picha ya utiifu iliyounganishwa na vitambulisho vya mtumiaji.","ಬಳಕೆದಾರರ ಐಡಿಗಳಿಗೆ ಲಿಂಕ್ ಮಾಡಿದ ಅನುಸರಣೆ ಸ್ನ್ಯಾಪ್‌ಶಾಟ್ ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ."
local_airpay_compliance_report,taskrefresh,"Refresh compliance snapshot","अनुपालन स्नैपशॉट ताज़ा करें","अनुपालन स्नॅपशॉट ताजे करा","Sasisha picha ya utiifu","ಅನುಸರಣೆ ಸ್ನ್ಯಾಪ್‌ಶಾಟ್ ರಿಫ್ರೆಶ್ ಮಾಡಿ"
local_airpay_compliance_report,messageprovider:compliance_alert,"Compliance deadline alerts","अनुपालन समयसीमा अलर्ट","अनुपालन मुदत अलर्ट","Arifa za mwisho wa utiifu","ಅನುಸರಣೆ ಗಡುವು ಎಚ್ಚರಿಕೆಗಳು"
local_airpay_compliance_report,settingsheading,"Compliance Report Settings","अनुपालन रिपोर्ट सेटिंग्स","अनुपालन रिपोर्ट सेटिंग्ज","Mipangilio ya Ripoti ya Utiifu","ಅನುಸರಣೆ ವರದಿ ಸೆಟ್ಟಿಂಗ್‌ಗಳು"
local_airpay_compliance_report,settingsdesc,"Configure auto-enrolment, escalation rules, and email notifications for mandatory compliance courses.","अनिवार्य अनुपालन पाठ्यक्रमों के लिए स्वतः नामांकन, एस्केलेशन नियम और ईमेल सूचनाएं कॉन्फ़िगर करें।","अनिवार्य अनुपालन कोर्ससाठी स्वयं-नोंदणी, एस्केलेशन नियम आणि ईमेल सूचना कॉन्फिगर करा.","Sanidi uandikishaji-otomatiki, sheria za kupandisha na arifa za barua pepe kwa kozi za lazima za utiifu.","ಕಡ್ಡಾಯ ಅನುಸರಣೆ ಕೋರ್ಸ್‌ಗಳಿಗೆ ಸ್ವಯಂ-ನೋಂದಣಿ, ಹೆಚ್ಚಳ ನಿಯಮಗಳು ಮತ್ತು ಇಮೇಲ್ ಅಧಿಸೂಚನೆಗಳನ್ನು ಕಾನ್ಫಿಗರ್ ಮಾಡಿ."
local_airpay_compliance_report,autoenrol,"Auto-enrol missing employees","गायब कर्मचारियों को स्वतः नामांकित करें","गहाळ कर्मचाऱ्यांची स्वयं-नोंदणी करा","Andikisha wafanyakazi wanaokosekana otomatiki","ಕಾಣೆಯಾದ ಉದ್ಯೋಗಿಗಳನ್ನು ಸ್ವಯಂ-ನೋಂದಾಯಿಸಿ"
local_airpay_compliance_report,autoenrol_desc,"Automatically enrol active employees in mandatory courses they are not enrolled in.","सक्रिय कर्मचारियों को उन अनिवार्य पाठ्यक्रमों में स्वचालित रूप से नामांकित करें जिनमें वे नामांकित नहीं हैं।","सक्रिय कर्मचाऱ्यांना त्यांनी नोंदणी न केलेल्या अनिवार्य कोर्समध्ये स्वयंचलितपणे नोंदणी करा.","Andikisha wafanyakazi hai otomatiki katika kozi za lazima ambazo hawajaandikishwa.","ನೋಂದಾಯಿಸದ ಕಡ್ಡಾಯ ಕೋರ್ಸ್‌ಗಳಲ್ಲಿ ಸಕ್ರಿಯ ಉದ್ಯೋಗಿಗಳನ್ನು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ನೋಂದಾಯಿಸಿ."
local_airpay_compliance_report,reminderdays,"Reminder after (days)","रिमाइंडर के बाद (दिन)","स्मरणपत्र नंतर (दिवस)","Kikumbusho baada ya (siku)","ಜ್ಞಾಪನೆ ನಂತರ (ದಿನಗಳು)"
local_airpay_compliance_report,reminderdays_desc,"Send a reminder if employee has not started after this many days.","यदि कर्मचारी ने इतने दिनों के बाद शुरू नहीं किया है तो रिमाइंडर भेजें।","कर्मचाऱ्याने इतक्या दिवसांनंतर सुरू केले नसल्यास स्मरणपत्र पाठवा.","Tuma kikumbusho ikiwa mfanyakazi hajaanza baada ya siku hizi.","ಉದ್ಯೋಗಿ ಈ ದಿನಗಳ ನಂತರ ಪ್ರಾರಂಭಿಸದಿದ್ದರೆ ಜ್ಞಾಪನೆ ಕಳುಹಿಸಿ."
local_airpay_compliance_report,managerescalation,"Manager escalation","प्रबंधक एस्केलेशन","व्यवस्थापक एस्केलेशन","Kupandisha kwa meneja","ವ್ಯವಸ್ಥಾಪಕರ ಹೆಚ್ಚಳ"
local_airpay_compliance_report,managerescalation_desc,"Send overdue alerts to the employee's manager.","कर्मचारी के प्रबंधक को अतिदेय अलर्ट भेजें।","कर्मचाऱ्याच्या व्यवस्थापकाला विलंबित अलर्ट पाठवा.","Tuma arifa za kuchelewa kwa meneja wa mfanyakazi.","ಉದ್ಯೋಗಿಯ ವ್ಯವಸ್ಥಾಪಕರಿಗೆ ವಿಳಂಬ ಎಚ್ಚರಿಕೆಗಳನ್ನು ಕಳುಹಿಸಿ."
local_airpay_compliance_report,weeklyreport,"Weekly compliance email","साप्ताहिक अनुपालन ईमेल","साप्ताहिक अनुपालन ईमेल","Barua pepe ya utiifu ya kila wiki","ಸಾಪ್ತಾಹಿಕ ಅನುಸರಣೆ ಇಮೇಲ್"
local_airpay_compliance_report,weeklyreport_desc,"Send a weekly compliance summary to L&D admins.","L&D व्यवस्थापकों को साप्ताहिक अनुपालन सारांश भेजें।","L&D प्रशासकांना साप्ताहिक अनुपालन सारांश पाठवा.","Tuma muhtasari wa utiifu wa kila wiki kwa wasimamizi wa L&D.","L&D ನಿರ್ವಾಹಕರಿಗೆ ಸಾಪ್ತಾಹಿಕ ಅನುಸರಣೆ ಸಾರಾಂಶ ಕಳುಹಿಸಿ."
local_airpay_compliance_report,compliancereport,"Compliance Report","अनुपालन रिपोर्ट","अनुपालन रिपोर्ट","Ripoti ya Utiifu","ಅನುಸರಣೆ ವರದಿ"
local_airpay_compliance_report,compliancematrix,"Compliance Matrix","अनुपालन मैट्रिक्स","अनुपालन मॅट्रिक्स","Jedwali la Utiifu","ಅನುಸರಣೆ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
local_airpay_compliance_report,defaulters,Defaulters,डिफॉल्टर्स,डिफॉल्टर्स,Wasiotekeleza,ಡೀಫಾಲ್ಟರ್‌ಗಳು
local_airpay_compliance_report,departmentscorecard,"Department Scorecard","विभाग स्कोरकार्ड","विभाग स्कोरकार्ड","Kadi ya Alama ya Idara","ವಿಭಾಗ ಸ್ಕೋರ್‌ಕಾರ್ಡ್"
local_airpay_compliance_report,managerreport,"Manager Report","प्रबंधक रिपोर्ट","व्यवस्थापक रिपोर्ट","Ripoti ya Meneja","ವ್ಯವಸ್ಥಾಪಕರ ವರದಿ"
local_airpay_compliance_report,export,"Export to Excel","एक्सेल में निर्यात करें","एक्सेलमध्ये निर्यात करा","Hamisha kwa Excel","ಎಕ್ಸೆಲ್‌ಗೆ ರಫ್ತು ಮಾಡಿ"
local_airpay_compliance_report,exportfilename,Compliance_Report,अनुपालन_रिपोर्ट,अनुपालन_रिपोर्ट,Ripoti_ya_Utiifu,ಅನುಸರಣೆ_ವರದಿ
local_airpay_compliance_report,status_completed,Completed,पूर्ण,पूर्ण,Imekamilika,ಪೂರ್ಣಗೊಂಡಿದೆ
local_airpay_compliance_report,status_in_progress,"In Progress","प्रगति में",प्रगतीत,Inaendelea,ಪ್ರಗತಿಯಲ್ಲಿ
local_airpay_compliance_report,status_overdue,Overdue,अतिदेय,विलंबित,Imechelewa,ವಿಳಂಬವಾಗಿದೆ
local_airpay_compliance_report,status_not_started,"Not Started","शुरू नहीं हुआ","सुरू नाही",Haijaanza,ಪ್ರಾರಂಭವಾಗಿಲ್ಲ
local_airpay_compliance_report,status_not_enrolled,"Not Enrolled","नामांकित नहीं","नोंदणी नाही",Haijaandikishwa,ನೋಂದಾಯಿಸಿಲ್ಲ
local_airpay_compliance_report,status_exempted,Exempted,"छूट प्राप्त","सूट दिलेले",Imesamehewa,ವಿನಾಯಿತಿ
local_airpay_compliance_report,compliancerate,"Compliance Rate","अनुपालन दर","अनुपालन दर","Kiwango cha Utiifu","ಅನುಸರಣೆ ದರ"
local_airpay_compliance_report,totalitems,"Total Items","कुल आइटम","एकूण आयटम","Jumla ya Vipengele","ಒಟ್ಟು ಐಟಂಗಳು"
local_airpay_compliance_report,overduecount,Overdue,अतिदेय,विलंबित,Imechelewa,ವಿಳಂಬ
local_airpay_compliance_report,notenrolledcount,"Not Enrolled","नामांकित नहीं","नोंदणी नाही",Haijaandikishwa,ನೋಂದಾಯಿಸಿಲ್ಲ
local_airpay_compliance_report,managecourses,"Manage Mandatory Courses","अनिवार्य पाठ्यक्रम प्रबंधित करें","अनिवार्य कोर्स व्यवस्थापित करा","Simamia Kozi za Lazima","ಕಡ್ಡಾಯ ಕೋರ್ಸ್‌ಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
local_airpay_compliance_report,addcourse,"Add Mandatory Course","अनिवार्य पाठ्यक्रम जोड़ें","अनिवार्य कोर्स जोडा","Ongeza Kozi ya Lazima","ಕಡ್ಡಾಯ ಕೋರ್ಸ್ ಸೇರಿಸಿ"
local_airpay_compliance_report,exemptuser,"Exempt User","उपयोगकर्ता को छूट दें","वापरकर्त्याला सूट द्या","Samehe Mtumiaji","ಬಳಕೆದಾರರಿಗೆ ವಿನಾಯಿತಿ ನೀಡಿ"
local_airpay_compliance_report,nodata,"No compliance data available. Run the snapshot task first.","कोई अनुपालन डेटा उपलब्ध नहीं है। पहले स्नैपशॉट कार्य चलाएं।","कोणताही अनुपालन डेटा उपलब्ध नाही. प्रथम स्नॅपशॉट कार्य चालवा.","Hakuna data ya utiifu inayopatikana. Endesha kazi ya picha kwanza.","ಯಾವುದೇ ಅನುಸರಣೆ ಡೇಟಾ ಲಭ್ಯವಿಲ್ಲ. ಮೊದಲು ಸ್ನ್ಯಾಪ್‌ಶಾಟ್ ಕಾರ್ಯ ಚಾಲನೆ ಮಾಡಿ."
local_airpay_compliance_report,lastrefreshed,"Last refreshed","अंतिम बार ताज़ा किया गया","शेवटचे ताजे केले","Ilisasishwa mara ya mwisho","ಕೊನೆಯ ರಿಫ್ರೆಶ್"
local_airpay_skills,pluginname,"Airpay Skills Matrix","एयरपे कौशल मैट्रिक्स","एअरपे कौशल्य मॅट्रिक्स","Jedwali la Ujuzi la Airpay","ಏರ್‌ಪೇ ಕೌಶಲ್ಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
local_airpay_skills,privacy:metadata,"The skills plugin stores skill level data linked to user IDs.",,"कौशल्य प्लगइन वापरकर्ता आयडीशी जोडलेला कौशल्य स्तर डेटा संग्रहित करते.","Programu-jalizi ya ujuzi huhifadhi data ya kiwango cha ujuzi iliyounganishwa na vitambulisho vya mtumiaji.","ಕೌಶಲ್ಯ ಪ್ಲಗಿನ್ ಬಳಕೆದಾರರ ಐಡಿಗಳಿಗೆ ಲಿಂಕ್ ಮಾಡಿದ ಕೌಶಲ್ಯ ಮಟ್ಟದ ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ."
local_airpay_skills,skills,Skills,कौशल,कौशल्ये,Ujuzi,ಕೌಶಲ್ಯಗಳು
local_airpay_skills,skillmatrix,"Skill Matrix","कौशल मैट्रिक्स","कौशल्य मॅट्रिक्स","Jedwali la Ujuzi","ಕೌಶಲ್ಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
local_airpay_skills,gapanalysis,"Gap Analysis","गैप विश्लेषण","गॅप विश्लेषण","Uchambuzi wa Pengo","ಅಂತರ ವಿಶ್ಲೇಷಣೆ"
local_airpay_skills,yourskills,"Your Skills","आपके कौशल","तुमची कौशल्ये","Ujuzi Wako","ನಿಮ್ಮ ಕೌಶಲ್ಯಗಳು"
local_airpay_skills,requiredskills,"Required for your role","आपकी भूमिका के लिए आवश्यक","तुमच्या भूमिकेसाठी आवश्यक","Inahitajika kwa nafasi yako","ನಿಮ್ಮ ಪಾತ್ರಕ್ಕೆ ಅಗತ್ಯ"
local_airpay_skills,currentlevel,"Current Level","वर्तमान स्तर","सध्याचा स्तर","Kiwango cha Sasa","ಪ್ರಸ್ತುತ ಮಟ್ಟ"
local_airpay_skills,requiredlevel,"Required Level","आवश्यक स्तर","आवश्यक स्तर","Kiwango Kinachohitajika","ಅಗತ್ಯ ಮಟ್ಟ"
local_airpay_skills,gap,Gap,अंतर,गॅप,Pengo,ಅಂತರ
local_airpay_skills,met,Met,पूर्ण,पूर्ण,Imefikiwa,ಪೂರ್ಣ
local_airpay_skills,partial,"In Progress","प्रगति में",प्रगतीत,Inaendelea,ಪ್ರಗತಿಯಲ್ಲಿ
local_airpay_skills,missing,"Not Started","शुरू नहीं हुआ","सुरू नाही",Haijaanza,ಪ್ರಾರಂಭವಾಗಿಲ್ಲ
local_airpay_skills,skillsgap,"{$a->gaps} skill gaps out of {$a->total}","{$a->total} में से {$a->gaps} कौशल अंतर","{$a->total} पैकी {$a->gaps} कौशल्य गॅप","Mapengo {$a->gaps} kati ya {$a->total} ya ujuzi","{$a->total} ರಲ್ಲಿ {$a->gaps} ಕೌಶಲ್ಯ ಅಂತರಗಳು"
local_airpay_skills,skillsmet,"{$a->met}/{$a->total} skills at required level ({$a->percentage}%)","{$a->total} में से {$a->met} कौशल आवश्यक स्तर पर ({$a->percentage}%)","{$a->met}/{$a->total} कौशल्ये आवश्यक स्तरावर ({$a->percentage}%)","Ujuzi {$a->met}/{$a->total} katika kiwango kinachohitajika ({$a->percentage}%)","{$a->met}/{$a->total} ಕೌಶಲ್ಯಗಳು ಅಗತ್ಯ ಮಟ್ಟದಲ್ಲಿ ({$a->percentage}%)"
local_airpay_skills,recommendedcourses,"Recommended to fill gaps","अंतर भरने के लिए अनुशंसित","गॅप भरण्यासाठी शिफारस केलेले","Zinazopendekezwa kujaza mapengo","ಅಂತರ ತುಂಬಲು ಶಿಫಾರಸು ಮಾಡಿದವು"
local_airpay_skills,nodesignation,"No role/designation set. Contact your manager to update your profile.","कोई भूमिका/पदनाम सेट नहीं है। अपनी प्रोफ़ाइल अपडेट करने के लिए अपने प्रबंधक से संपर्क करें।","कोणतीही भूमिका/पदनाम सेट नाही. तुमचे प्रोफाइल अपडेट करण्यासाठी तुमच्या व्यवस्थापकाशी संपर्क साधा.","Hakuna nafasi/jina la kazi lililowekwa. Wasiliana na meneja wako kusasisha wasifu wako.","ಯಾವುದೇ ಪಾತ್ರ/ಹುದ್ದೆ ಹೊಂದಿಸಿಲ್ಲ. ನಿಮ್ಮ ಪ್ರೊಫೈಲ್ ನವೀಕರಿಸಲು ನಿಮ್ಮ ವ್ಯವಸ್ಥಾಪಕರನ್ನು ಸಂಪರ್ಕಿಸಿ."
local_airpay_skills,noskillsmapped,"No skills mapped for your role yet. Check back soon.","आपकी भूमिका के लिए अभी तक कोई कौशल मैप नहीं किया गया। जल्द ही जाँचें।","तुमच्या भूमिकेसाठी अजून कौशल्ये मॅप केली नाहीत. लवकरच तपासा.","Bado hakuna ujuzi uliowekwa kwa nafasi yako. Angalia hivi karibuni.","ನಿಮ್ಮ ಪಾತ್ರಕ್ಕೆ ಇನ್ನೂ ಕೌಶಲ್ಯಗಳನ್ನು ಮ್ಯಾಪ್ ಮಾಡಿಲ್ಲ. ಶೀಘ್ರದಲ್ಲೇ ಪರಿಶೀಲಿಸಿ."
